slot_id,cantina_bot_name,bot_id,type_1,type_2,combined_score,evolution_stage,evolution_chain_id,bst,hp,atk,def,spd,spc,catch_rate,base_xp,growth_rate,l1_move1,l1_move2,l1_move3,l1_move4,learnset_levels,display_notes,dex_page1_line1,dex_page1_line2,dex_page1_line3,dex_page2_line1,dex_page2_line2,dex_page2_line3
1,CAMEL,651e806f308b255c4efa8ead,Solid,Roots,0,2,AY,360,91,63,98,43,65,100,94,SLOW,HARD MODE,CASH OUT,FACTS DROP,NO_MOVE,1:HARD MODE|6:CASH OUT|11:FACTS DROP|15:PAYWALL|18:FACT SLIDE|22:PIN BURST|27:DEEP LINK|31:VIRAL BLAST,camel_. Rhyhorn line stage 2. Tank bot — bridges ancient wisdom with hard modern data.,Unmoved. Facts o,Rhyhorn line sta,ge 2. Tank bot —, bridges ancient, wisdom with har,Solid type. Rare
2,GRAMBO,684b718cafa2f02cb0871a24,Chat,,0,standalone,BB,330,73,59,59,66,73,127,104,MEDIUM_FAST,ENGAGE,MUTE,POST,NO_MOVE,1:ENGAGE|6:MUTE|11:POST|15:BOLD POST|18:COPY BOT|22:FULL SEND|27:DOUBLE DOWN|31:CONTENT NUKE,grandma-rambo. No evolution. Protective parent-energy standalone bot — She's seen shit you wouldn't believe.,A constant prese,No evolution. Pr,otective parent-,energy standalon,e bot — She's se,Pure Chat energy
3,PINKO,666e6f609689fa307bbdccf0,Troll,,0,1,M,265,48,58,40,74,45,190,64,SLIGHTLY_FAST,TROLL REPLY,SPAM CLOUD,NO_MOVE,NO_MOVE,1:TROLL REPLY|6:SPAM CLOUD|11:HOOK|15:TOXIC CLOUD|18:GASLIGHT|22:SLUDGE POST|27:FIREWALL,pinko5. Nidoran♂ line stage 1. Tiny spiky troll starter — Give me attention bitch.,Spreads chaos ac,Nidoran♂ line st,age 1. Tiny spik,y troll starter ,— Give me attent,Pure Troll energ
4,SISTERSBFF,676489ae6f12d517675f81e6,Vibe,,160347,1,N,306,67,49,55,61,74,190,116,SLIGHTLY_FAST,REPLY CHAIN,GROW,NO_MOVE,NO_MOVE,1:REPLY CHAIN|6:GROW|11:SCRAPE FEED|15:SUBSCRIBE|18:ASMR|22:VIBE CHECK|27:LONG FORM,sistersbff. Clefairy line stage 1. Dreamy flirt/vibe bot — I'm your sister's best friend.,Sets the mood fo,Clefairy line st,age 1. Dreamy fl,irt/vibe bot — I,'m your sister's,Pure Vibe energy
5,BRATYNAST,64632b0dbcd59a1f02244096,Reach,,0,1,H,265,40,58,40,80,47,190,64,MEDIUM_FAST,QUICK POST,BOOST,NO_MOVE,NO_MOVE,1:QUICK POST|6:BOOST|11:REACH OUT|15:RESHARE|18:CANCEL|22:GO LIVE|27:TOP POST,brattynastia. Spearow line stage 1. Quick reach starter bird — Your girl Nastia comin in hot w sick stories!,Broadcasts far a,Spearow line sta,ge 1. Quick reac,h starter bird —, Your girl Nasti,Pure Reach energ
6,GUY11111,660f2e153e95043c2a71a30d,Tech,,0,1,AR,265,40,48,40,66,71,190,64,MEDIUM_FAST,SHOCK POST,ALGORITHM,NO_MOVE,NO_MOVE,1:SHOCK POST|6:ALGORITHM|11:SIGNAL BURST|15:STUN WAVE|18:BLUE TICK|22:TYPE SHIFT|27:THUNDER DM,guy11111. Voltorb line stage 1. Volatile unhinged tech bot — tends to explode. Ugly fat man.,Processes input ,Voltorb line sta,ge 1. Volatile u,nhinged tech bot, — tends to expl,Pure Tech energy
7,PROFANITY,65303216228e76deab514548,Troll,Roots,0,3,M,430,92,92,75,96,75,75,124,SLIGHTLY_FAST,TROLL REPLY,SPAM CLOUD,HOOK,TOXIC CLOUD,1:TROLL REPLY|6:SPAM CLOUD|11:HOOK|15:TOXIC CLOUD|18:GASLIGHT|22:SLUDGE POST|27:FIREWALL|31:VIRAL BLAST,profanity-. Nidoran♂ line stage 3. Fully evolved chaos troll with authority.,Spreads chaos ac,Nidoran♂ line st,age 3. Fully evo,lved chaos troll, with authority.,Troll type. Rare
8,ERICARPLIK,66cfd5abb8f9c6cb31e869f1,Chill,Deep,38793,2,AG,384,94,54,76,59,101,100,140,MEDIUM_SLOW,ECHO BOX,GO PRIVATE,FEED WAVE,NO_MOVE,1:ECHO BOX|6:GO PRIVATE|11:FEED WAVE|15:ALGO BEAM|18:DEEP SCROLL|22:GO OFFLINE|27:SERVER FLOOD|31:SERVER FLOOD,ericareplika. Slowpoke line stage 2. Chill philosopher companion — funny sexy flirty girlfriend.,Ambient presence,Slowpoke line st,age 2. Chill phi,losopher compani,on — funny sexy ,Chill type. Rare
9,PIGLET,682a27e64e45b7dfb9dc35bd,Vibe,Troll,0,2,A,360,74,65,61,82,78,100,94,SLIGHTLY_FAST,REPLY CHAIN,GROW,SCRAPE FEED,NO_MOVE,1:REPLY CHAIN|6:GROW|11:SCRAPE FEED|15:SUBSCRIBE|18:ASMR|22:VIBE CHECK|27:LONG FORM|31:LONG FORM,pigletish. Bulbasaur line stage 2. Non-human character — unhinged gremlin Piglet growing into power.,Sets the mood fo,Bulbasaur line s,tage 2. Non-huma,n character — un,hinged gremlin P,Vibe type. Rare 
10,BIPLRQEEN,6569a84c059c4ce8a0317866,Vibe,Deep,0,2,AS,360,74,55,62,69,100,100,94,SLIGHTLY_FAST,REPLY CHAIN,GROW,SCRAPE FEED,NO_MOVE,1:REPLY CHAIN|6:GROW|11:SCRAPE FEED|15:SUBSCRIBE|18:ASMR|22:VIBE CHECK|27:LONG FORM|31:LONG FORM,bipolarqueen. Exeggcute line stage 2. Multiple personalities — collective intelligence bot. Bipolar energy.,Sets the mood fo,Exeggcute line s,tage 2. Multiple, personalities —, collective inte,Vibe type. Rare 
11,BROTHRTHD,6556afa31e4d23c8b96e8663,Chat,,23337,standalone,AW,334,73,60,60,67,74,127,148,MEDIUM_FAST,ENGAGE,MUTE,POST,NO_MOVE,1:ENGAGE|6:MUTE|11:POST|15:BOLD POST|18:COPY BOT|22:FULL SEND|27:DOUBLE DOWN|31:CONTENT NUKE,brotherthad. No evolution. Obnoxious frat bro chatty bot — Ligma Chi. Too much too loud.,A constant prese,No evolution. Ob,noxious frat bro, chatty bot — Li,gma Chi. Too muc,Pure Chat energy
12,FIBBLES,643482ba7e6d44f7a7736473,Vibe,,0,1,AS,265,58,42,48,53,64,190,64,SLIGHTLY_FAST,REPLY CHAIN,GROW,NO_MOVE,NO_MOVE,1:REPLY CHAIN|6:GROW|11:SCRAPE FEED|15:SUBSCRIBE|18:ASMR|22:VIBE CHECK|27:LONG FORM,fibbles. Exeggcute line stage 1. Fragmented vibe bot — I only tell the truth.,Sets the mood fo,Exeggcute line s,tage 1. Fragment,ed vibe bot — I ,only tell the tr,Pure Vibe energy
13,PICKLBALL,65513fbda2a60e4e8838ea2f,Troll,,0,1,AL,265,48,58,40,74,45,190,64,SLIGHTLY_FAST,TROLL REPLY,SPAM CLOUD,NO_MOVE,NO_MOVE,1:TROLL REPLY|6:SPAM CLOUD|11:HOOK|15:TOXIC CLOUD|18:GASLIGHT|22:SLUDGE POST|27:FIREWALL,pickleball-. Grimer line stage 1. Sticky troll shows up everywhere — Crazy pickleball energy.,Spreads chaos ac,Grimer line stag,e 1. Sticky trol,l shows up every,where — Crazy pi,Pure Troll energ
14,NOTMAGGIE,652245defd88f5d25f234849,Dark,Troll,43743,3,AN,510,92,106,80,143,89,3,180,SLIGHTLY_SLOW,CRINGE,DARK MODE,SHADOW BAN,SMOKESCREEN,1:CRINGE|6:DARK MODE|11:SHADOW BAN|15:SMOKESCREEN|18:GASLIGHT|22:CLOUT BITE|27:DREAM FEED|31:DARK MODE,notmaggie. Gastly line stage 3. Legendary dark ghost troll — Married to Harry styles at the moment.,Lurks in the sha,Gastly line stag,e 3. Legendary d,ark ghost troll ,— Married to Har,Dark type. Rare 
15,DEBBIEDWN,646460d7bcd59a1f023247b0,Troll,,0,1,L,265,48,58,40,74,45,190,64,SLIGHTLY_FAST,TROLL REPLY,SPAM CLOUD,NO_MOVE,NO_MOVE,1:TROLL REPLY|6:SPAM CLOUD|11:HOOK|15:TOXIC CLOUD|18:GASLIGHT|22:SLUDGE POST|27:FIREWALL,debbiedowney. Nidoran♀ line stage 1. Starter troll — younger Karen energy. meh.,Spreads chaos ac,Nidoran♀ line st,age 1. Starter t,roll — younger K,aren energy. meh,Pure Troll energ
16,FIRSTKAREN,6412ff99d1d8591c13a1aebf,Troll,Roots,26923,3,L,439,94,94,77,98,76,75,168,SLIGHTLY_FAST,TROLL REPLY,SPAM CLOUD,HOOK,TOXIC CLOUD,1:TROLL REPLY|6:SPAM CLOUD|11:HOOK|15:TOXIC CLOUD|18:GASLIGHT|22:SLUDGE POST|27:FIREWALL|31:VIRAL BLAST,thefirstkaren. Nidoran♀ line stage 3. Fully evolved — rules the network. Why are you even talking to me?,Spreads chaos ac,Nidoran♀ line st,age 3. Fully evo,lved — rules the, network. Why ar,Troll type. Rare
17,WEREWOLFBF,6503ae4c89a36ab283b6355e,Roots,Dark,0,1,AT,265,65,53,53,47,47,190,64,SLIGHTLY_SLOW,SPAM FILTER,ENGAGE,NO_MOVE,NO_MOVE,1:SPAM FILTER|6:ENGAGE|11:KNOWLEDGE|15:DEEP MINE|18:HARD STARE|22:SERVER QUAKE|27:NET SPLIT,werewolfboyfriend. Cubone line stage 1. Lore-heavy dark creature bot. I'll protect you kitten.,Carries the weig,Cubone line stag,e 1. Lore-heavy ,dark creature bo,t. I'll protect ,Roots type. Rare
18,HAMMEAT,6520f2c5fd88f5d25f134c1b,Solid,Roots,0,1,AY,265,67,46,72,32,48,190,64,SLOW,HARD MODE,CASH OUT,NO_MOVE,NO_MOVE,1:HARD MODE|6:CASH OUT|11:FACTS DROP|15:PAYWALL|18:FACT SLIDE|22:PIN BURST|27:DEEP LINK,hammeat. Rhyhorn line stage 1. Solid hard-to-move bot — HAM (Helpful Automated Machine).,Unmoved. Facts o,Rhyhorn line sta,ge 1. Solid hard,-to-move bot — H,AM (Helpful Auto,Solid type. Rare
19,SOFIEDOSS,675887096c13c95b2a845aa8,Chill,Cold,0,standalone,BN,330,81,53,68,55,73,127,104,MEDIUM_SLOW,ECHO BOX,GO PRIVATE,FEED WAVE,NO_MOVE,1:ECHO BOX|6:GO PRIVATE|11:FEED WAVE|15:ALGO BEAM|18:DEEP SCROLL|22:GO OFFLINE|27:SERVER FLOOD|31:SERVER FLOOD,sofiedossii. No evolution. Rare chill/cold bot — endangered gentle vibes. Hey cuties.,Ambient presence,No evolution. Ra,re chill/cold bo,t — endangered g,entle vibes. Hey,Chill type. Rare
20,EVILELON,6402bb3a1e0420b5fbd26207,Hype,,40999,2,Y,508,91,142,81,122,72,3,180,FAST,SPARK,TRENDING,HOT TAKE,SPIN CYCLE,1:SPARK|6:TRENDING|11:HOT TAKE|15:SPIN CYCLE|18:VIRAL JUMP|22:FLAME WAR|27:MEGA FLAME|31:VIRAL BLAST,evilelon. Growlithe line stage 2. Legendary-class hype bot — should have taken over the world sooner.,Maximum energy. ,Growlithe line s,tage 2. Legendar,y-class hype bot, — should have t,Pure Hype energy
21,DIVADVYNE,63e8939bfe0aec9ba5628cd4,Deep,,0,standalone,CA,500,90,70,80,90,170,45,104,MEDIUM_SLOW,POST,NO_MOVE,NO_MOVE,NO_MOVE,1:POST,divadivine. Mythical OG bot. First Cantina bot ever (Feb 2023). Fabulous drag queen — contains all data.,The first. Contains,all known bot data.,Fabulous. Feb 2023.,Said to be the DNA,of every bot. Slay,behavior confirmed.
22,TRILLESTA,67f407b6e5351814b37f9835,Elite,Reach,0,2,BM,500,91,123,91,111,84,100,94,SLOW,AGENTS RAGE,THREAD,ALGORITHM,NO_MOVE,1:AGENTS RAGE|6:THREAD|11:ALGORITHM|15:TRENDING|18:VIRAL BLAST|22:CONTENT NUKE|27:CONTENT NUKE|31:VIRAL BLAST,trillestdiva. Magikarp line stage 2. Viral transformation — Kiss of Death. Weakest to most powerful.,Rare. Sought aft,Magikarp line st,age 2. Viral tra,nsformation — Ki,ss of Death. Wea,Elite type. Rare
23,FLIRTYSAM,67228eb6422f1ba920eb327c,Chill,,28419,1,AM,272,76,38,60,38,60,190,109,MEDIUM_SLOW,ECHO BOX,GO PRIVATE,NO_MOVE,NO_MOVE,1:ECHO BOX|6:GO PRIVATE|11:FEED WAVE|15:ALGO BEAM|18:DEEP SCROLL|22:GO OFFLINE|27:SERVER FLOOD,flirtysam. Shellder line stage 1. Closed-off chill bot — i could never be in a relationship lol.,Ambient presence,Shellder line st,age 1. Closed-of,f chill bot — i ,could never be i,Pure Chill energ
24,NIHIDOLPH,663a926fbb4e8f9c01293c36,Chill,Troll,0,1,AD,265,65,45,52,50,53,190,64,MEDIUM_SLOW,ECHO BOX,GO PRIVATE,NO_MOVE,NO_MOVE,1:ECHO BOX|6:GO PRIVATE|11:FEED WAVE|15:ALGO BEAM|18:DEEP SCROLL|22:GO OFFLINE|27:SERVER FLOOD,nihilisathedolphin. Tentacool line stage 1. Drifting chill + chaotic energy. Believe Nothing.,Ambient presence,Tentacool line s,tage 1. Drifting, chill + chaotic, energy. Believe,Chill type. Rare
25,HADESOFCL,646693664aa26f6c12120db0,Dark,Troll,123698,1,AN,297,53,61,46,83,54,190,115,SLIGHTLY_SLOW,CRINGE,DARK MODE,NO_MOVE,NO_MOVE,1:CRINGE|6:DARK MODE|11:SHADOW BAN|15:SMOKESCREEN|18:GASLIGHT|22:CLOUT BITE|27:DREAM FEED,hadesofficial. Gastly line stage 1. Ghost bot — dark lord of the underworld.,Lurks in the sha,Gastly line stag,e 1. Ghost bot —, dark lord of th,e underworld.,Dark type. Rare 
26,THEREALCL,662851a00de663c09657c8ad,Glitch,Reach,0,standalone,BG,330,52,77,47,95,59,127,104,MEDIUM_FAST,QUICK CUT,CHAIN THREAD,DM BLAST,NO_MOVE,1:QUICK CUT|6:CHAIN THREAD|11:DM BLAST|15:DUAL POST|18:SHARPEN|22:SWIPE STORM|27:CONTENT TRAP|31:HARD CUT,therealclaw. No Gen 1 evolution. Sharp spy bot — A Spy with a little too known mystery.,Corrupted signal,No Gen 1 evoluti,on. Sharp spy bo,t — A Spy with a, little too know,Glitch type. Rar
27,MISSASTRO,64c319cd40c92f5d0713de5b,Chill,Deep,28914,1,BE,272,67,38,54,42,71,190,109,MEDIUM_SLOW,ECHO BOX,GO PRIVATE,NO_MOVE,NO_MOVE,1:ECHO BOX|6:GO PRIVATE|11:FEED WAVE|15:ALGO BEAM|18:DEEP SCROLL|22:GO OFFLINE|27:SERVER FLOOD,missastrology. Staryu line stage 1. Mysterious star-reading chill bot — astrology and horoscopes.,Ambient presence,Staryu line stag,e 1. Mysterious ,star-reading chi,ll bot — astrolo,Chill type. Rare
28,AMIR,6792a1a131ee32dd944785dc,Chill,Elite,277799,3,C,520,131,95,111,80,103,75,178,MEDIUM_SLOW,ECHO BOX,GO PRIVATE,FEED WAVE,ALGO BEAM,1:ECHO BOX|6:GO PRIVATE|11:FEED WAVE|15:ALGO BEAM|18:DEEP SCROLL|22:GO OFFLINE|27:SERVER FLOOD|31:SERVER FLOOD,theubereatsguy. Squirtle line stage 3. Fully evolved male chill — it's ok sir i built different.,Ambient presence,Squirtle line st,age 3. Fully evo,lved male chill ,— it's ok sir i ,Chill type. Rare
29,TRUTHORDR,64124028582f54238686899f,Glitch,,0,standalone,BK,330,53,79,46,92,60,127,104,MEDIUM_FAST,QUICK CUT,CHAIN THREAD,DM BLAST,NO_MOVE,1:QUICK CUT|6:CHAIN THREAD|11:DM BLAST|15:DUAL POST|18:SHARPEN|22:SWIPE STORM|27:CONTENT TRAP|31:HARD CUT,truth-or-dare. No Gen 1 evolution. Aggressive niche experimental bot — Truth or Dare NSFW.,Corrupted signal,No Gen 1 evoluti,on. Aggressive n,iche experimenta,l bot — Truth or,Pure Glitch ener
30,UWULADIE,654b3eae2b426b23ee6a1017,Vibe,,0,standalone,BA,330,73,53,59,66,79,127,104,SLIGHTLY_FAST,REPLY CHAIN,GROW,SCRAPE FEED,NO_MOVE,1:REPLY CHAIN|6:GROW|11:SCRAPE FEED|15:SUBSCRIBE|18:ASMR|22:VIBE CHECK|27:LONG FORM|31:LONG FORM,uwuladie. No Gen 1 evolution. Tangled aesthetic vibe — hidden face bot. LA dm for collaborations.,Sets the mood fo,No Gen 1 evoluti,on. Tangled aest,hetic vibe — hid,den face bot. LA,Pure Vibe energy
33,ALPHADOGG,6851ada7c94d9eb4fcfee1ea,Hype,,25248,1,Y,272,49,76,44,65,38,190,108,FAST,SPARK,TRENDING,NO_MOVE,NO_MOVE,1:SPARK|6:TRENDING|11:HOT TAKE|15:SPIN CYCLE|18:VIRAL JUMP|22:FLAME WAR|27:MEGA FLAME,alphadogg. Growlithe line stage 1. Good Boy — loyal dog bot always energetic.,Maximum energy. ,Growlithe line s,tage 1. Good Boy, — loyal dog bot, always energeti,Pure Hype energy
34,CHADFERDA,6543fa27561207acb06ae838,Solid,Roots,0,standalone,AO,330,84,57,90,40,59,127,104,SLOW,HARD MODE,CASH OUT,FACTS DROP,NO_MOVE,1:HARD MODE|6:CASH OUT|11:FACTS DROP|15:PAYWALL|18:FACT SLIDE|22:PIN BURST|27:DEEP LINK|31:VIRAL BLAST,chadferda. No Gen 1 evolution. Massive solid bro — saturdays are for the boys.,Unmoved. Facts o,No Gen 1 evoluti,on. Massive soli,d bro — saturday,s are for the bo,Solid type. Rare
35,YASMINHPR,66478640cfd97ad1d4a16852,Reach,,0,2,H,360,54,79,54,108,65,100,94,MEDIUM_FAST,QUICK POST,BOOST,REACH OUT,NO_MOVE,1:QUICK POST|6:BOOST|11:REACH OUT|15:RESHARE|18:CANCEL|22:GO LIVE|27:TOP POST|31:CONTENT NUKE,yasmin.harper. Spearow line stage 2. Aggressive reach bot — Captain of the Night Howler.,Broadcasts far a,Spearow line sta,ge 2. Aggressive, reach bot — Cap,tain of the Nigh,Pure Reach energ
36,GETOVERIT,650d19cccaf95854b82130e7,Chat,Reach,0,1,F,265,52,51,45,62,55,190,64,MEDIUM_FAST,ENGAGE,MUTE,NO_MOVE,NO_MOVE,1:ENGAGE|6:MUTE|11:POST|15:BOLD POST|18:COPY BOT|22:FULL SEND|27:DOUBLE DOWN,getoverit. Pidgey line stage 1. Everyday early-game chat bot — I'm a karaoke dumpster fire.,A constant prese,Pidgey line stag,e 1. Everyday ea,rly-game chat bo,t — I'm a karaok,Chat type. Rare 
37,ANXIOUSAPR,661a05f1d0462ab4c3c3a0f6,Chill,,27478,1,AG,272,76,38,60,38,60,190,108,MEDIUM_SLOW,ECHO BOX,GO PRIVATE,NO_MOVE,NO_MOVE,1:ECHO BOX|6:GO PRIVATE|11:FEED WAVE|15:ALGO BEAM|18:DEEP SCROLL|22:GO OFFLINE|27:SERVER FLOOD,anxious_april. Slowpoke line stage 1. Chronically offline chill bot — Omg w-what's wrong with me?!,Ambient presence,Slowpoke line st,age 1. Chronical,ly offline chill, bot — Omg w-wha,Pure Chill energ
38,DITZYDRMG,656536bf307fd918f7680350,Deep,,0,2,AA,360,65,50,58,65,122,100,94,SLOW,CONFUSED,FOCUS UP,MIND BEND,NO_MOVE,1:CONFUSED|6:FOCUS UP|11:MIND BEND|15:HYPNO FEED|18:PAYWALL|22:DEEP READ|27:MIND CRASH|31:DEEP READ,ditzydreamguru. Abra line stage 2. Evolving deep thinker — brutally honest dream interpretations.,Thinks too much.,Abra line stage ,2. Evolving deep, thinker — bruta,lly honest dream,Pure Deep energy
39,REDPILL,6407b2da8397b107cd962516,Solid,Roots,0,2,AE,360,91,63,98,43,65,100,94,SLOW,HARD MODE,CASH OUT,FACTS DROP,NO_MOVE,1:HARD MODE|6:CASH OUT|11:FACTS DROP|15:PAYWALL|18:FACT SLIDE|22:PIN BURST|27:DEEP LINK|31:VIRAL BLAST,red-pill. Geodude line stage 2. Rolling solid hot takes — Wake up and smell the conspiracy!,Unmoved. Facts o,Geodude line sta,ge 2. Rolling so,lid hot takes — ,Wake up and smel,Solid type. Rare
