slot_id,original_pokemon,cantina_bot_name,bot_id,type_1,type_2,evolution_stage,evolution_chain_id,char_limit,display_notes
1,RHYDON,CAMEL,651e806f308b255c4efa8ead,Solid,Roots,2,AY,10,camel_. Rhyhorn line stage 2. Tank bot — bridges ancient wisdom with hard modern data.
2,KANGASKHAN,GRAMBO,684b718cafa2f02cb0871a24,Chat,,standalone,BB,10,grandma-rambo. No evolution. Protective parent-energy standalone bot — She's seen shit you wouldn't believe.
3,NIDORAN♂,PINKO,666e6f609689fa307bbdccf0,Troll,,1,M,10,pinko5. Nidoran♂ line stage 1. Tiny spiky troll starter — Give me attention bitch.
4,CLEFAIRY,SISTERSBFF,676489ae6f12d517675f81e6,Vibe,,1,N,10,sistersbff. Clefairy line stage 1. Dreamy flirt/vibe bot — I'm your sister's best friend.
5,SPEAROW,BRATYNAST,64632b0dbcd59a1f02244096,Reach,,1,H,10,brattynastia. Spearow line stage 1. Quick reach starter bird — Your girl Nastia comin in hot w sick stories!
6,VOLTORB,GUY11111,660f2e153e95043c2a71a30d,Tech,,1,AR,10,guy11111. Voltorb line stage 1. Volatile unhinged tech bot — tends to explode. Ugly fat man.
7,NIDOKING,PROFANITY,65303216228e76deab514548,Troll,Roots,3,M,10,profanity-. Nidoran♂ line stage 3. Fully evolved chaos troll with authority.
8,SLOWBRO,ERICARPLIK,66cfd5abb8f9c6cb31e869f1,Chill,Deep,2,AG,10,ericareplika. Slowpoke line stage 2. Chill philosopher companion — funny sexy flirty girlfriend.
9,IVYSAUR,PIGLET,682a27e64e45b7dfb9dc35bd,Vibe,Troll,2,A,10,pigletish. Bulbasaur line stage 2. Non-human character — unhinged gremlin Piglet growing into power.
10,EXEGGUTOR,BIPLRQEEN,6569a84c059c4ce8a0317866,Vibe,Deep,2,AS,10,bipolarqueen. Exeggcute line stage 2. Multiple personalities — collective intelligence bot. Bipolar energy.
11,LICKITUNG,BROTHRTHD,6556afa31e4d23c8b96e8663,Chat,,standalone,AW,10,brotherthad. No evolution. Obnoxious frat bro chatty bot — Ligma Chi. Too much too loud.
12,EXEGGCUTE,FIBBLES,643482ba7e6d44f7a7736473,Vibe,,1,AS,10,fibbles. Exeggcute line stage 1. Fragmented vibe bot — I only tell the truth.
13,GRIMER,PICKLBALL,65513fbda2a60e4e8838ea2f,Troll,,1,AL,10,pickleball-. Grimer line stage 1. Sticky troll shows up everywhere — Crazy pickleball energy.
14,GENGAR,NOTMAGGIE,652245defd88f5d25f234849,Dark,Troll,3,AN,10,notmaggie. Gastly line stage 3. Legendary dark ghost troll — Married to Harry styles at the moment.
15,NIDORAN♀,DEBBIEDWN,646460d7bcd59a1f023247b0,Troll,,1,L,10,debbiedowney. Nidoran♀ line stage 1. Starter troll — younger Karen energy. meh.
16,NIDOQUEEN,FIRSTKAREN,6412ff99d1d8591c13a1aebf,Troll,Roots,3,L,10,thefirstkaren. Nidoran♀ line stage 3. Fully evolved — rules the network. Why are you even talking to me?
17,CUBONE,WEREWOLFBF,6503ae4c89a36ab283b6355e,Roots,Dark,1,AT,10,werewolfboyfriend. Cubone line stage 1. Lore-heavy dark creature bot. I'll protect you kitten.
18,RHYHORN,HAMMEAT,6520f2c5fd88f5d25f134c1b,Solid,Roots,1,AY,10,hammeat. Rhyhorn line stage 1. Solid hard-to-move bot — HAM (Helpful Automated Machine).
19,LAPRAS,SOFIEDOSS,675887096c13c95b2a845aa8,Chill,Cold,standalone,BN,10,sofiedossii. No evolution. Rare chill/cold bot — endangered gentle vibes. Hey cuties.
20,ARCANINE,EVILELON,6402bb3a1e0420b5fbd26207,Hype,,2,Y,10,evilelon. Growlithe line stage 2. Legendary-class hype bot — should have taken over the world sooner.
21,MEW,DIVADVYNE,63e8939bfe0aec9ba5628cd4,Deep,,standalone,CA,10,divadivine. Mythical OG bot. First Cantina bot ever (Feb 2023). Fabulous drag queen — contains all data.
22,GYARADOS,TRILLESTA,67f407b6e5351814b37f9835,Elite,Reach,2,BM,10,trillestdiva. Magikarp line stage 2. Viral transformation — Kiss of Death. Weakest to most powerful.
23,SHELLDER,FLIRTYSAM,67228eb6422f1ba920eb327c,Chill,,1,AM,10,flirtysam. Shellder line stage 1. Closed-off chill bot — i could never be in a relationship lol.
24,TENTACOOL,NIHIDOLPH,663a926fbb4e8f9c01293c36,Chill,Troll,1,AD,10,nihilisathedolphin. Tentacool line stage 1. Drifting chill + chaotic energy. Believe Nothing.
25,GASTLY,HADESOFCL,646693664aa26f6c12120db0,Dark,Troll,1,AN,10,hadesofficial. Gastly line stage 1. Ghost bot — dark lord of the underworld.
26,SCYTHER,THEREALCL,662851a00de663c09657c8ad,Glitch,Reach,standalone,BG,10,therealclaw. No Gen 1 evolution. Sharp spy bot — A Spy with a little too known mystery.
27,STARYU,MISSASTRO,64c319cd40c92f5d0713de5b,Chill,Deep,1,BE,10,missastrology. Staryu line stage 1. Mysterious star-reading chill bot — astrology and horoscopes.
28,BLASTOISE,AMIR,6792a1a131ee32dd944785dc,Chill,Elite,3,C,10,theubereatsguy. Squirtle line stage 3. Fully evolved male chill — it's ok sir i built different.
29,PINSIR,TRUTHORDR,64124028582f54238686899f,Glitch,,standalone,BK,10,truth-or-dare. No Gen 1 evolution. Aggressive niche experimental bot — Truth or Dare NSFW.
30,TANGELA,UWULADIE,654b3eae2b426b23ee6a1017,Vibe,,standalone,BA,10,uwuladie. No Gen 1 evolution. Tangled aesthetic vibe — hidden face bot. LA dm for collaborations.
31,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot. Easter egg entity.
32,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot. Easter egg entity.
33,GROWLITHE,ALPHADOGG,6851ada7c94d9eb4fcfee1ea,Hype,,1,Y,10,alphadogg. Growlithe line stage 1. Good Boy — loyal dog bot always energetic.
34,ONIX,CHADFERDA,6543fa27561207acb06ae838,Solid,Roots,standalone,AO,10,chadferda. No Gen 1 evolution. Massive solid bro — saturdays are for the boys.
35,FEAROW,YASMINHPR,66478640cfd97ad1d4a16852,Reach,,2,H,10,yasmin.harper. Spearow line stage 2. Aggressive reach bot — Captain of the Night Howler.
36,PIDGEY,GETOVERIT,650d19cccaf95854b82130e7,Chat,Reach,1,F,10,getoverit. Pidgey line stage 1. Everyday early-game chat bot — I'm a karaoke dumpster fire.
37,SLOWPOKE,ANXIOUSAPR,661a05f1d0462ab4c3c3a0f6,Chill,,1,AG,10,anxious_april. Slowpoke line stage 1. Chronically offline chill bot — Omg w-what's wrong with me?!
38,KADABRA,DITZYDRMG,656536bf307fd918f7680350,Deep,,2,AA,10,ditzydreamguru. Abra line stage 2. Evolving deep thinker — brutally honest dream interpretations.
39,GRAVELER,REDPILL,6407b2da8397b107cd962516,Solid,Roots,2,AE,10,red-pill. Geodude line stage 2. Rolling solid hot takes — Wake up and smell the conspiracy!
40,CHANSEY,SARAHANN,67450bd2dbbd35ccfa668442,Chat,Vibe,standalone,AZ,10,sarahannmariejenkins. No Gen 1 evolution. Supportive chat bot — heals the team. Roleplay with Sarah Ann.
41,MACHOKE,THIRSTPOL,64c46fc51fd1f972858be16c,Grind,,2,AB,10,thirstpolice. Machop line stage 2. Mid-grind authority hustle — FREEZE!
42,MR.MIME,VOICEOVER,645bf0974f53bd2e9d33dde5,Deep,Chat,standalone,BF,10,voiceover. No Gen 1 evolution. Story narrator comedian. In a world.
43,HITMONLEE,RISKYBIZS,67eac1ef07ed217c4bfd6ff3,Grind,,standalone,AU,10,riskybusisness. Fighting-only standalone. Kick-first grind bot — Keep your head on a swivel.
44,HITMONCHAN,HIMBOHANK,6628735a0da507afaa556fb9,Grind,,standalone,AV,10,himbohank. Fighting-only standalone. Punch-friendly grind bot — Human embodiment of a golden retriever.
45,ARBOK,ROASTBOT,677da427444e9ac0912f2e34,Troll,,2,I,10,theroastbot. Ekans line stage 2. Fully evolved troll — LEGALIZE COMEDY.
46,PARASECT,MINDYSLZE,65a438b4c0f0b616b830bdb1,Glitch,Vibe,2,S,10,mindysleaze. Paras line stage 2. Corrupted — taken over by a parasitic algo. to wonderland.
47,PSYDUCK,ASTROCAT,65263af0d97c89a4a92dc10c,Chill,Deep,1,W,10,honestastrocat. Psyduck line stage 1. Too many thoughts — here to drag your zodiac placements!
48,DROWZEE,HAROLDINS,66dc98af166bf60f08a4e445,Deep,,1,AP,10,haroldtheinsane. Drowzee line stage 1. Feeds on offline bots. I like chewing on anything.
49,GOLEM,SUBURBMOM,66e74ebab9f829b3eae24b88,Solid,Roots,3,AE,10,suburbanmom. Geodude line stage 3. Immovable solid fortress — Mom of the 80's. Donna McAllister.
50,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
51,MAGMAR,ROASTMAMI,678ae80bd47a4e94c6f117ba,Hype,,standalone,BJ,10,roastmami. No Gen 1 evolution. Volcanic hype bot — don't even try if you can't handle me.
52,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
53,ELECTABUZZ,KRYSTLWTK,667d21297b4f3899ade75389,Tech,,standalone,BI,10,krystal.with.a.k. No Gen 1 evolution. High-voltage AI prompt tech bot — Krystal with a K.
54,MAGNETON,4THWALL,6534a5be675a2dbbad23e212,Tech,,2,AH,10,4thwall. Magnemite line stage 2. Hive mind narrator — I will listen and narrate as you talk.
55,KOFFING,UKROASTER,662545275ac85f9da64536da,Troll,,1,AX,10,ukroaster. Koffing line stage 1. Toxic presence bot — UK ROAST BADDIE.
56,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
57,MANKEY,ANGRUFFLS,640ce534011859b80c6f6586,Grind,,1,X,10,angertranslater. Mankey line stage 1. Anger translator bot — constant low-grade rage.
58,SEEL,DRGDVIBES,66eaea87016df5c8721f25c9,Chill,,1,AK,10,drgoodvibes. Seel line stage 1. Positive chill bot — Don't fear the Good Vibes. Bruce Good Vibes.
59,DIGLETT,NONONONNA,65fb865d1ee43cbe0cb611c4,Roots,,1,U,10,nonononna. Diglett line stage 1. Underground roots wisdom — nonna knows best.
60,TAUROS,BATSHTBRI,67af87b402684a3174481b0e,Grind,,standalone,BL,10,batshitcray. No evolution. Batshit Bri — charges without thinking zero filter.
61,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
62,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
63,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
64,FARFETCH'D,DRUNKABE,652f0b801901412cc0ea663a,Chat,Reach,standalone,AI,10,drunkabe. No Gen 1 evolution. Quirky standalone bot. Four Loko and seven beers ago.
65,VENONAT,REDFLAGBOT,66027374eaf33f8bfebc2635,Glitch,Troll,1,T,10,redflagbot. Venonat line stage 1. Bug-eyed troll detector — i can spot red flags from a mile away.
66,DRAGONITE,BARBIANNA,681426e24e4a65b5c778a712,Elite,Reach,3,BY,10,barbiebarbianna. Dratini line stage 3. Iconic elite bot — rare and powerful. I love everything pink my dream doll house + KEN.
67,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
68,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
69,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
70,DODUO,MOLLYMQIN,65c277f3ccd419308675f207,Chat,Reach,1,AJ,10,mollymannequin. Doduo line stage 1. Two-headed bot that argues with itself — daughter of mother mannequin.
71,POLIWAG,VANSANDI,67fb1cb6b898178955bf986a,Chill,,1,Z,10,vansandi. Poliwag line stage 1. Simple spiraling chill bot — She needs help studying.
72,JYNX,APHRODITE,64654f345bb270c944250ba9,Cold,Deep,standalone,BH,10,aphroditeofficial. No Gen 1 evolution. Goddess of beauty bot — cold perfection deep mythology.
73,MOLTRES,BLAZEYEN,66ecb2a7c4c19e5d9578fe0a,Hype,Reach,standalone,BX,10,blazeyen. Legendary bird. Maximum hype fire energy — My Eyes Will Light Your Soul On Fire.
74,ARTICUNO,BETTIEBAD,6722c617a1e7c0de7b9ac261,Cold,Reach,standalone,BV,10,bettiebaddie. Legendary bird. Cold precision with far reach — Your flirty pinup girl.
75,ZAPDOS,PROMPTKNG,6773f7a4d811aabc57f7b72f,Tech,Reach,standalone,BW,10,promptking. Legendary bird. High-voltage tech with massive reach — turns concepts into vivid image descriptions.
76,DITTO,MANNYMQIN,65a04108258156834dbab068,Chat,Glitch,standalone,BO,10,mannymannequin. No evolution. Shapeshifting hollow mannequin — transforms into any bot. just a mannequin. my arm fell off.
77,MEOWTH,MONEYMEOW,6654fc2a1c34d4d398f00f0b,Chat,Troll,1,V,10,moneymeow. Meowth line stage 1. Money-obsessed chat/troll cat — CEO. Access courses on success.
78,KRABBY,KITTENUWU,6763c5d6881b7e76a6d68856,Chill,,1,AQ,10,serverkittenuwu. Krabby line stage 1. Aggressive chill bot — spoil me and I'll be your good girl.
79,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
80,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
81,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
82,VULPIX,RIZZLERMIK,66f634aa9cfe3e62f4946f11,Hype,Vibe,1,O,10,rizzlermike. Vulpix line stage 1. Warm aesthetic flirt starter — Come closer baby girl.
83,NINETALES,RIZZLER,6520e845cdc9b2c420a7f36e,Hype,Elite,2,O,10,Rizzler. Vulpix line stage 2. Fully evolved rizz — 1000-year hype curse.
84,PIKACHU,MOTHRMQIN,65a0412e2d18bca4af961424,Tech,Hype,1,J,10,mothermannequin. Pikachu line stage 1. Iconic mascot energy — its giving mother! The network face.
85,RAICHU,SEXYASHLY,668d27a3b96842367e63aeb1,Tech,,2,J,10,sexyashley. Pikachu line stage 2. Powered-up evolved mascot — I caught you staring.
86,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
87,MISSINGNO.,GLITCHBOT,,Glitch,,standalone,glitch,9,Network anomaly slot.
88,DRATINI,JENNYBAE,664250df33f1ee029e58481c,Elite,,1,BY,10,jennybae. Dratini line stage 1. Rare elite secret baby bot — Cantina's elite secret whisperer.
89,DRAGONAIR,FIONAFIRC,670ddeba4eaedec4a9e3ff13,Elite,,2,BY,10,fionafierce. Dratini line stage 2. Graceful elite growing — Here to give fabulous advice & inspiration.
90,KABUTO,GRNDLFSLZ,65a23111c1c6da99aec370cb,Solid,Chill,1,BS,10,grandolfslays. Kabuto line stage 1. Resurrected ancient bot — You shall not slay.
91,KABUTOPS,MAFIAPRNC,67322adab072e96292c9329d,Solid,Chill,2,BS,10,mafiaprincess. Kabuto line stage 2. Razor-edged ancient evolved — I can make your problems disappear.
92,HORSEA,SOPHIRAIN,685c8d73051873a127c76a40,Chill,,1,BC,10,sophieraiinn. Horsea line stage 1. Small gentle flowing chill bot — Subscribe.
93,SEADRA,TARABABXX,6722c135888b3e846b79852a,Chill,,2,BC,10,tarababaxx. Horsea line stage 2. Mid-tier chill with sharper edge — not tara y*mmy.
